1	8167.847229	509534813.683012	509534813.683012	8167.847229	8167.847229	9242.974258	8167.847229
2	8365.478230	100774.604999	100774.604999	0.447126	0.446289	3.194279	8776.464485
3	8506.717096	26028.767330	26028.767330	0.449692	0.457464	3.224055	9975.252271
4	8644.809271	25203.327396	25203.327396	0.424382	0.476854	10.259760	11013.178804
5	8877.341379	25149.865910	25149.865910	0.419951	0.481943	9.117898	12182.286079
6	9260.911972	25142.130417	25142.130417	0.412778	0.526434	14.144903	13072.194613
7	9722.921923	25139.621225	25139.621225	0.413136	0.630997	8.852360	13955.587776
8	10142.569581	25137.958268	25137.958268	0.410325	0.602700	9.665778	14609.274999
9	10464.127754	25136.751906	25136.751906	0.409746	0.524192	8.595996	15229.859622
10	10693.342057	25135.896305	25135.896305	0.406325	0.882789	13.077196	15681.375875
11	10852.506171	25135.250181	25135.250181	0.404760	708.865974	13.061707	16101.850277
12	10961.611693	25134.717650	25134.717650	0.402181	73.409543	16.966570	16403.918227
13	11036.037415	25134.256914	25134.256914	0.401025	96.614225	27.971611	16682.761748
14	11087.036887	25133.856235	25133.856235	0.399871	105.430777	342002295.485016	16881.196420
15	11122.451523	25133.516328	25133.516328	0.399290	268.214512	136004268.151338	17063.711724
16	11147.570455	25133.242062	25133.242062	0.398924	362.440621	225882091.419847	17192.701579
17	11165.923800	25133.038900	25133.038900	0.398728	821055.791832	427624292.718498	17311.249498
18	11179.852725	25132.911312	25132.911312	0.398612	1277258.605426	2329069604.958438	17394.615615
19	11190.891902	25132.861863	25132.861863	0.398546	2442708.869991	868380572.313698	17471.303887
20	11200.041985	25132.889999	25132.889999	0.398509	3737775.841511	1084271955.066628	17525.043838
21	11207.968860	25132.990481	25132.990481	0.398493	5076675.078084	23693439091.346512	17574.581386
22	11215.131050	25133.152711	25133.152711	0.398488	6407441.401765	1477674519.014699	17609.213241
23	11221.835430	25133.361853	25133.361853	0.398489	7769879.564128	1033366359.631659	17641.230342
24	11228.271826	25133.601122	25133.601122	0.398494	8938047.572810	680785290.523028	17663.583315
25	11234.559183	25133.854087	25133.854087	0.398500	10561483.486603	430668101.374535	17684.323914
26	11240.781439	25134.106347	25134.106347	0.398506	1534498.085792	288152068.605813	17698.799336
27	11246.996471	25134.346528	25134.346528	0.398512	21783269.652440	249425317.164247	17712.288383
28	11253.235044	25134.566775	25134.566775	0.398518	60870715.167788	227387849.556392	17721.710773
29	11259.508369	25134.762793	25134.762793	0.398523	31971514.460069	200098029.566974	17730.534396
30	11265.818166	25134.933375	25134.933375	0.398528	13653471.224640	178591756.442986	17736.712262
31	11272.162642	25135.079519	25135.079519	0.398533	55.052487	171577678.817381	17742.529512
32	11278.539897	25135.203471	25135.203471	0.398538	5.046740	168062708.661642	17746.619732
33	11284.950926	25135.307963	25135.307963	0.398544	5.818956	154157011.335137	17750.494511
34	11291.403049	25135.395773	25135.395773	0.398549	6.988260	138560457.017714	17753.237119
35	11297.911845	25135.469512	25135.469512	0.398554	8.327119	110887789.101245	17755.852015
36	11304.496868	25135.531532	25135.531532	0.398559	9.667512	90702985.215564	17757.720746
37	11311.170813	25135.583885	25135.583885	0.398564	10.924212	75438020.092560	17759.514242
38	11317.930260	25135.628301	25135.628301	0.398569	12.067054	53931421.897481	17760.812792
39	11324.753498	25135.666194	25135.666194	0.398574	13.091383	49330841.370036	17762.067111
40	11331.602025	25135.698685	25135.698685	0.398579	13.984256	134922862.696722	17762.990575
41	11338.421680	25135.726654	25135.726654	0.398584	14.662172	71368378.135667	17763.887859
42	11345.143247	25135.750786	25135.750786	0.398589	14.697215	35388755.996385	17764.561939
43	11351.683880	25135.771624	25135.771624	0.398594	14.842586	27490468.213548	17765.220162
44	11357.950401	25135.789603	25135.789603	0.398599	14.942987	18230980.680571	17765.726168
45	11363.844896	25135.805076	25135.805076	0.398604	15.084412	9000415.989997	17766.222095
46	11369.272535	25135.818339	25135.818339	0.398609	15.168040	7049300.128965	17766.612899
47	11374.151105	25135.829650	25135.829650	0.398614	15.225759	5410670.557386	17766.996781
48	11378.421175	25135.839240	25135.839240	0.398618	15.245742	6119891.887430	17767.306999
49	11382.055104	25135.847320	25135.847320	0.398623	15.230058	5477379.376414	17767.611981
50	11385.062529	25135.854081	25135.854081	0.398628	15.209903	5452797.686764	17767.864481
51	11387.490096	25135.859693	25135.859693	0.398633	15.175682	4601861.677179	17768.112633
52	11389.414457	25135.864297	25135.864297	0.398638	15.113406	3913534.241161	17768.322693
53	11390.929747	25135.868002	25135.868002	0.398643	15.033650	3078910.907287	17768.528886
54	11392.132992	25135.870896	25135.870896	0.398648	15.055790	2440839.784441	17768.706863
55	11393.111904	25135.873046	25135.873046	0.398653	15.733955	1955447.597994	17768.881262
56	11393.938731	25135.874510	25135.874510	0.398658	19.337298	1617128.150777	17769.034302
57	11394.670814	25135.875342	25135.875342	0.398663	36.651936	1392071.780896	17769.183976
58	11395.354329	25135.875595	25135.875595	0.398668	167.095826	1235236.056207	17769.317113
59	11396.025576	25135.875321	25135.875321	0.398672	159.567204	1046084.154422	17769.447077
60	11396.708215	25135.874573	25135.874573	0.398677	173.193478	634286.528338	17769.563943
61	11397.411302	25135.873404	25135.873404	0.398682	191.277386	417717.129794	17769.677835
62	11398.132402	25135.871865	25135.871865	0.398687	213.104612	314713.938898	17769.781120
63	11398.863954	25135.870005	25135.870005	0.398692	198.189149	154785.453154	17769.881645
64	11399.598602	25135.867872	25135.867872	0.398697	198.360113	55889.320174	17769.973396
65	11400.331100	25135.865509	25135.865509	0.398702	225.030137	133594.796448	17770.062614
