new-data-percentage	update_only-time	total-time	incremental-accuracy	global-accuracy	recompute-time-update	recompute-time-total	recompute-accuracy(global)
0.1	77.422463	96.504	0.668038	0.669299	430.490558	478.99	0.663203
0.2	138.425671	181.39	0.652965	0.656068	430.490558	478.99	0.663203
0.3	109.292066	143.883	0.611833	0.622887	430.490558	478.99	0.663203
0.4	121.100548	159.683	0.613558	0.613743	430.490558	478.99	0.663203
0.5	161.979411	214.535	0.654352	0.660917	430.490558	478.99	0.663203
0.6	165.060242	219.903	0.678654	0.678997	430.490558	478.99	0.663203
0.7	160.451776	216.993	0.673486	0.674009	430.490558	478.99	0.663203
0.8	164.764054	217.394	0.682923	0.683569	430.490558	478.99	0.663203
0.9	157.496742	216.86	0.677702	0.6711	430.490558	478.99	0.663203
