new-data-percentage	update_only-time	total-time	incremental-accuracy	global-accuracy	recompute-time-update	recompute-time-total	recompute-accuracy(global)
0.1	351.085987	447.449	0.616396	0.621201	1192.417799	1303.53	0.644449
0.2	358.965219	467.445	0.613625	0.620117	1192.417799	1303.53	0.644449
0.3	373.082233	487.863	0.612228	0.617659	1192.417799	1303.53	0.644449
0.4	374.939417	489.088	0.602326	0.609309	1192.417799	1303.53	0.644449
0.5	382.081261	500.764	0.597106	0.606026	1192.417799	1303.53	0.644449
0.6	390.153194	512.928	0.595504	0.604836	1192.417799	1303.53	0.644449
0.7	358.272541	466.316	0.606674	0.604423	1192.417799	1303.53	0.644449
0.8	373.590823	480.993	0.612906	0.609155	1192.417799	1303.53	0.644449
0.9	351.265278	474.967	0.620389	0.616882	1192.417799	1303.53	0.644449
