confidence	update_only-time (sec)	total-time (sec)	incremental-accuracy	global-accuracy	recompute-time-update	recompute-time-total	recompute-accuracy
0.1	158.960832	204.509	0.659808	0.671585	430.490558	478.99	0.663203
0.2	149.891177	189.484	0.659808	0.673386	430.490558	478.99	0.663203
0.3	142.296315	180.205	0.659808	0.671723	430.490558	478.99	0.663203
0.4	154.813426	189.571	0.670782	0.669853	430.490558	478.99	0.663203
0.5	77.422463	96.504	0.668038	0.669299	430.490558	478.99	0.663203
0.6	71.157101	89.071	0.659808	0.663896	430.490558	478.99	0.663203
0.7	55.442582	67.109	0.604938	0.652258	430.490558	478.99	0.663203
0.8	46.560749	56.73	0.602195	0.653228	430.490558	478.99	0.663203
0.9	18.627031	26.022	0.647462	0.657523	430.490558	478.99	0.663203
